Sound Sink 1.0 Analysis File
D:\Users\Robin\Music\Lapfox trax - WI-FI bridge.wav - Name of original audio file
16 bit, mono, 44100Hz sampling rate - Temp File Info
256 - Power of 2 for FFT processing
7000 - Hi frequency cutoff
Hamming - FFT Window

-----------------
-Analysis Frames-
freq:5684,766 val:18,370 
freq:5857,031 val:1,616 
freq:6029,297 val:19,502 
freq:6201,562 val:24,175 
freq:6373,828 val:21,865 
freq:6546,094 val:0,210 
freq:6718,359 val:0,003 
freq:6890,625 val:13,622 


	Frame 16:
Maxvol: 4518	Time: 0,753
freq:0,000 val:15,779 
freq:172,266 val:51,659 
freq:344,531 val:63,712 
freq:516,797 val:35,771 
freq:689,062 val:29,143 
freq:861,328 val:29,426 
freq:1033,594 val:24,312 
freq:1205,859 val:80,892 
freq:1378,125 val:100,000 
freq:1550,391 val:49,894 
freq:1722,656 val:18,465 
freq:1894,922 val:9,455 
freq:2067,188 val:5,960 
freq:2239,453 val:1,833 
freq:2411,719 val:0,882 
freq:2583,984 val:0,212 
freq:2756,250 val:5,150 
freq:2928,516 val:9,741 
freq:3100,781 val:9,269 
freq:3273,047 val:12,280 
freq:3445,312 val:1,780 
freq:3617,578 val:1,437 
freq:3789,844 val:3,649 
freq:3962,109 val:0,720 
freq:4134,375 val:11,961 
freq:4306,641 val:7,822 
freq:4478,906 val:2,025 
freq:4651,172 val:14,997 
freq:4823,438 val:17,773 
freq:4995,703 val:3,323 
freq:5167,969 val:5,260 
freq:5340,234 val:6,827 
freq:5512,500 val:0,472 
freq:5684,766 val:1,125 
freq:5857,031 val:2,767 
freq:6029,297 val:7,094 
freq:6201,562 val:8,113 
freq:6373,828 val:1,169 
freq:6546,094 val:1,230 
freq:6718,359 val:0,985 
freq:6890,625 val:9,457 


	Frame 17:
Maxvol: 5772	Time: 0,803
freq:0,000 val:6,730 
freq:172,266 val:30,255 
freq:344,531 val:61,117 
freq:516,797 val:100,000 
freq:689,062 val:64,894 
freq:861,328 val:8,284 
freq:1033,594 val:9,782 
freq:1205,859 val:3,445 
freq:1378,125 val:0,367 
freq:1550,391 val:10,248 
freq:1722,656 val:9,059 
freq:1894,922 val:12,993 
freq:2067,188 val:21,011 
freq:2239,453 val:6,896 
freq:2411,719 val:3,009 
freq:2583,984 val:8,189 
freq:2756,250 val:11,634 
freq:2928,516 val:2,604 
freq:3100,781 val:5,545 
freq:3273,047 val:7,364 
freq:3445,312 val:3,323 
freq:3617,578 val:7,175 
freq:3789,844 val:3,390 
freq:3962,109 val:2,714 
freq:4134,375 val:0,802 
freq:4306,641 val:5,244 
freq:4478,906 val:1,919 
freq:4651,172 val:5,873 
freq:4823,438 val:6,732 
freq:4995,703 val:2,207 
freq:5167,969 val:1,075 
freq:5340,234 val:0,702 
freq:5512,500 val:1,402 
freq:5684,766 val:4,434 
freq:5857,031 val:5,358 
freq:6029,297 val:2,563 
freq:6201,562 val:3,192 
freq:6373,828 val:6,663 
freq:6546,094 val:2,443 
freq:6718,359 val:2,348 
freq:6890,625 val:6,877 


	Frame 18:
Maxvol: 5309	Time: 0,853
freq:0,000 val:3,553 
freq:172,266 val:3,220 
freq:344,531 val:0,258 
freq:516,797 val:41,559 
freq:689,062 val:100,000 
freq:861,328 val:14,671 
freq:1033,594 val:31,759 
freq:1205,859 val:33,683 
freq:1378,125 val:33,535 
freq:1550,391 val:26,194 
freq:1722,656 val:30,797 
freq:1894,922 val:18,566 
freq:2067,188 val:4,116 
freq:2239,453 val:7,077 
freq:2411,719 val:16,324 
freq:2583,984 val:15,822 
freq:2756,250 val:5,651 
freq:2928,516 val:16,041 
freq:3100,781 val:2,617 
freq:3273,047 val:8,982 
freq:3445,312 val:7,086 
freq:3617,578 val:17,483 
freq:3789,844 val:17,969 
freq:3962,109 val:7,903 
freq:4134,375 val:7,286 
freq:4306,641 val:7,579 
freq:4478,906 val:8,682 
freq:4651,172 val:19,094 
freq:4823,438 val:17,811 
freq:4995,703 val:3,170 
freq:5167,969 val:10,219 
freq:5340,234 val:8,114 
freq:5512,500 val:3,374 
freq:5684,766 val:9,147 
freq:5857,031 val:3,464 
freq:6029,297 val:4,808 
freq:6201,562 val:4,303 
freq:6373,828 val:1,643 
freq:6546,094 val:3,989 
freq:6718,359 val:1,638 
freq:6890,625 val:4,120 


	Frame 19:
Maxvol: 4510	Time: 0,903
freq:0,000 val:3,821 
freq:172,266 val:4,863 
freq:344,531 val:13,442 
freq:516,797 val:27,983 
freq:689,062 val:68,951 
freq:861,328 val:100,000 
freq:1033,594 val:23,556 
freq:1205,859 val:2,527 
freq:1378,125 val:17,450 
freq:1550,391 val:56,696 
freq:1722,656 val:33,156 
freq:1894,922 val:2,068 
freq:2067,188 val:6,532 
freq:2239,453 val:19,924 
freq:2411,719 val:26,686 
freq:2583,984 val:7,013 
freq:2756,250 val:0,096 
freq:2928,516 val:3,260 
freq:3100,781 val:24,445 
freq:3273,047 val:22,107 
freq:3445,312 val:0,933 
freq:3617,578 val:5,144 
freq:3789,844 val:4,710 
freq:3962,109 val:11,098 
freq:4134,375 val:9,403 
freq:4306,641 val:4,218 
freq:4478,906 val:1,008 
freq:4651,172 val:2,006 
freq:4823,438 val:1,724 
freq:4995,703 val:0,226 
freq:5167,969 val:1,551 
freq:5340,234 val:0,500 
freq:5512,500 val:0,459 
freq:5684,766 val:1,754 
freq:5857,031 val:1,920 
freq:6029,297 val:1,954 
freq:6201,562 val:12,858 
freq:6373,828 val:13,897 
freq:6546,094 val:8,073 
freq:6718,359 val:5,273 
freq:6890,625 val:5,258 


	Frame 20:
Maxvol: 5294	Time: 0,953
freq:0,000 val:2,479 
freq:172,266 val:12,148 
freq:344,531 val:18,542 
freq:516,797 val:0,436 
freq:689,062 val:85,519 
freq:861,328 val:100,000 
freq:1033,594 val:24,202 
freq:1205,859 val:56,282 
freq:1378,125 val:29,683 
freq:1550,391 val:36,644 
freq:1722,656 val:16,572 
freq:1894,922 val:17,453 
freq:2067,188 val:18,666 
freq:2239,453 val:18,279 
freq:2411,719 val:33,777 
freq:2583,984 val:9,413 
freq:2756,250 val:7,579 
freq:2928,516 val:4,995 
freq:3100,781 val:8,238 
freq:3273,047 val:1,698 
freq:3445,312 val:9,607 
freq:3617,578 val:6,807 
freq:3789,844 val:9,916 
freq:3962,109 val:11,838 
freq:4134,375 val:3,800 
freq:4306,641 val:10,645 
freq:4478,906 val:4,002 
freq:4651,172 val:16,788 
freq:4823,438 val:16,039 
freq:4995,703 val:2,032 
freq:5167,969 val:8,125 
freq:5340,234 val:8,716 
freq:5512,500 val:19,304 
freq:5684,766 val:8,733 
freq:5857,031 val:3,746 
freq:6029,297 val:3,248 
freq:6201,562 val:0,021 
freq:6373,828 val:0,238 
freq:6546,094 val:1,361 
freq:6718,359 val:0,323 
freq:6890,625 val:0,482 


	Frame 21:
Maxvol: 5176	Time: 1,003
freq:0,000 val:0,005 
freq:172,266 val:9,609 
freq:344,531 val:19,240 
freq:516,797 val:66,130 
freq:689,062 val:100,000 
freq:861,328 val:38,894 
freq:1033,594 val:9,468 
freq:1205,859 val:2,042 
freq:1378,125 val:4,033 
freq:1550,391 val:2,443 
freq:1722,656 val:14,208 
freq:1894,922 val:6,991 
freq:2067,188 val:6,197 
freq:2239,453 val:7,386 
freq:2411,719 val:2,306 
freq:2583,984 val:0,527 
freq:2756,250 val:4,582 
freq:2928,516 val:3,736 
freq:3100,781 val:1,542 
freq:3273,047 val:1,881 
freq:3445,312 val:1,394 
freq:3617,578 val:1,684 
freq:3789,844 val:3,241 
freq:3962,109 val:3,041 
freq:4134,375 val:2,912 
freq:4306,641 val:1,124 
freq:4478,906 val:2,435 
freq:4651,172 val:3,147 
freq:4823,438 val:0,547 
freq:4995,703 val:2,062 
freq:5167,969 val:0,115 
freq:5340,234 val:4,934 
freq:5512,500 val:4,500 
freq:5684,766 val:0,659 
freq:5857,031 val:0,999 
